SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
90,main_file_0.p14.delay_done,clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
91,main_file_0.p14.counterValue[6:0],clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
92,main_file_0.p13.fault_sig,clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
93,main_file_0.p13.delay_done,clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
94,main_file_0.p13.counterValue[6:0],clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
95,main_file_0.p12.fault_sig,clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
96,main_file_0.p12.delay_done,clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
97,main_file_0.p12.counterValue[6:0],clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
98,main_file_0.p10.fault_sig,clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
99,main_file_0.p10.delay_done,clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
